010-04,1,17,9.898,92
010-04,2,9,2.469,86
010-05,1,17,3.560,74
010-05,2,5,12.800,65
010-05,3,10,9.589,95
010-06,1,12,10.117,77
010-06,2,13,14.480,93
010-06,3,7,14.611,68
010-06,4,34,5.687,72
010-06,5,5,22.052,66
010-07,1,10,14.152,91
010-07,2,9,10.284,89
010-07,3,9,6.599,94
010-08,1,16,8.020,81
010-08,2,7,15.816,75
010-08,3,3,16.659,64
010-08,4,3,13.818,48
010-08,5,9,7.260,72
010-08,6,13,2.138,90
010-08,7,27,1.602,87
010-08,8,4,892,
010-09,0,24,892,70
010-10,1,37,501,63
010-10,2,19,281,52
010-10,3,13,249,51
010-10,4,32,824,59
010-11,1,12,1.814,67
010-11,2,10,1.166,65
010-11,3,23,697,69
010-12,1,9,1.798,86
010-12,2,6,1.537,
010-12,3,24,1.752,66
010-13,1,6,3.134,56
010-13,2,42,2.044,74
010-13,3,11,6.377,76
010-14,1,1,14.502,
010-14,2,20,7.465,91
010-14,3,9,6.420,97
010-14,4,26,4.213,96
010-15,1,12,4.148,99
010-15,2,7,7.074,89
010-15,3,26,9.992,90
010-15,4,18,15.457,96
010-15,5,23,19.592,82
010-15,6,5,63.822,54
010-15,7,4,19.791,71
010-16,1,9,41.938,86
010-16,2,13,71.338,86
010-16,3,6,37.890,87
010-16,4,18,30.783,92
010-16,5,21,21.109,98
010-16,6,18,18.797,96
010-17,1,9,14.813,96
010-17,2,26,23.372,83
010-18,1,6,23.848,87
010-18,2,27,18.126,
010-18,3,7,20.556,77
010-18,4,14,20.541,80
010-18,5,5,17.522,92
010-19,1,10,22.656,89
010-19,2,15,27.711,88
010-19,3,6,32.468,76
010-19,4,7,22.435,92
010-19,5,19,16.255,96
010-19,6,14,16.983,88
010-19,7,3,13.091,88
010-20,1,13,13.774,93
010-20,2,13,12.281,95
010-20,3,4,12.605,
010-21,1,5,12.605,94
010-21,2,4,13.611,100
010-21,3,9,17.100,94
010-21,4,22,16.511,96
010-21,5,5,42.869,80
010-21,6,12,57.854,
010-22,1,2,78.500,
010-22,2,9,66.835,79
010-22,3,6,34.685,78
010-22,4,11,25.478,94
010-22,5,7,21.652,97
010-22,6,14,22.190,93
010-22,7,7,15.271,90
010-23,1,4,17.570,84
010-23,2,6,17.562,94
010-23,3,9,19.643,91
010-23,4,5,24.576,89
010-23,5,16,20.064,95
010-23,6,16,14.396,98
010-23,7,8,12.833,93
010-24,1,2,12.801,89
010-24,2,16,9.056,94
010-24,3,13,7.569,98
010-25,1,5,7.386,78
010-25,2,11,9.878,92
010-25,3,14,6.544,78
010-25,4,4,5.353,80
010-26,1,36,5.165,63
010-26,2,21,3.578,66
010-26,3,7,3.878,70
010-27,1,25,2.561,48
010-27,2,28,1.108,70
010-27,3,12,1.129,59
010-27,4,15,1.360,57
010-27,5,10,514,
010-28,1,16,883,86
010-28,2,10,503,83
010-28,3,9,3.618,86
010-28,4,3,2.409,91
010-28,5,17,962,99
010-28,6,10,931,97
010-29,0,21,357,80
010-30,1,3,441,
010-30,2,29,602,78
010-30,3,11,1.470,97
014-01,0,36,2.790,89
016-02,0,15,52.325,76
020-01,0,22,2.298,96
020-02,1,29,4.062,63
020-02,2,2,7.749,56
020-02,3,10,6.753,97
020-02,4,16,3.811,
020-03,1,8,3.822,71
020-03,2,15,4.054,78
020-03,3,15,6.205,78
020-04,0,14,2.369,85
020-05,1,19,2.355,78
020-05,2,27,6.952,72
020-06,1,24,10.265,94
020-06,2,14,29.087,107
020-06,3,8,69.217,96
020-06,4,9,111.963,81
020-07,1,16,25.301,94
020-07,2,9,33.401,96
020-07,3,16,18.132,93
020-07,4,15,14.817,87
020-08,1,2,7.123,57
020-08,2,26,,
020-09,1,10,580,56
020-09,2,22,2.068,74
020-10,0,10,2.750,
020-11,1,6,2.956,65
020-11,2,16,7.435,83
020-11,3,16,10.842,78
030-01,1,4,31.074,76
030-01,2,6,13.639,74
030-01,3,20,4.021,97
030-02,1,19,3.142,103
030-02,2,16,3.453,106
030-03,1,2,4.677,73
030-03,2,1,5.007,70
030-03,3,35,2.859,96
030-03,4,5,3.935,92
030-04,1,1,16.424,61
030-04,2,40,5.316,96
030-05,1,27,3.138,97
030-05,2,12,2.541,97
030-06,1,22,3.509,80
030-06,2,8,5.343,77
030-06,3,26,2.331,85
030-06,4,16,640,82
030-07,0,34,602,76
030-08,1,18,2.544,78
030-08,2,31,5.451,86
030-09,1,13,2.373,78
030-09,2,16,1.816,90
030-10,0,26,1.543,93
030-11,1,1,6.829,72
030-11,2,8,3.213,80
030-12,1,20,2.602,83
030-12,2,32,3.285,79
040-01,3,10,653,93
040-01,1,35,862,66
040-01,2,12,628,77
040-02,1,25,1.887,79
040-02,2,29,2.570,74
050-01,0,24,3.417,96
050-02,1,27,1.788,92
050-02,2,10,3.237,102
050-03,0,33,663,72
050-04,1,30,284,66
050-04,2,7,284,
050-05,1,4,1.859,77
050-05,2,27,573,70
050-05,3,21,84,
050-06,1,16,141,
050-06,2,11,1.403,44
050-06,3,13,1.091,42
052-01,0,19,699,91
052-02,1,21,802,96
052-02,2,14,2.186,96
060-01,0,14,698,
060-02,1,29,561,67
060-02,2,20,662,79
060-03,1,19,1.735,89
060-03,2,20,1.210,88
060-03,3,8,1.081,
060-04,1,2,1.366,93
060-04,2,3,2.046,64
060-04,3,28,574,
060-05,0,26,479,78
060-06,1,9,2.146,85
060-06,2,32,652,86
060-06,3,11,273,52
062-01,0,47,1.547,100
070-01,1,23,1.912,100
070-01,2,18,1.494,97
070-01,3,42,949,102
070-02,0,2,931,
080-01,0,23,2.158,96
080-02,1,22,,
080-02,2,37,,
080-02,3,25,,
080-03,1,18,770,86
080-03,2,13,480,85
080-04,0,19,654,82
080-05,1,11,1.791,70
080-05,2,26,2.396,98
080-05,3,15,4.965,91
080-06,1,13,4.611,85
080-06,2,9,2.406,97
080-06,3,25,1.709,91
080-06,4,11,1.171,94
080-06,5,28,681,103
100-01,1,11,11.999,92
100-01,2,20,12.483,101
100-01,3,11,6.443,105
100-02,1,11,6.123,93
100-02,2,4,9.358,94
100-02,3,6,13.422,94
100-02,4,21,13.648,102
100-02,5,19,17.136,96
100-02,6,3,17.299,
100-03,1,4,16.972,91
100-03,2,12,17.805,95
100-03,3,8,23.467,73
100-03,4,16,17.546,
100-03,5,2,16.677,95
100-04,1,11,15.346,97
100-04,2,12,30.388,89
100-04,3,11,38.403,89
100-04,4,8,36.460,81
100-04,5,10,41.942,83
100-05,1,11,112.000,
100-05,2,14,138.500,
100-05,3,15,173.000,
100-05,4,5,178.000,
100-07,1,8,115.057,92
100-07,2,5,71.470,
100-07,3,15,35.205,87
100-07,4,10,35.384,84
100-07,5,11,63.008,77
100-07,6,9,67.710,
100-08,1,6,60.032,70
100-08,2,19,27.894,89
100-09,0,12,26.156,91
100-10,1,18,25.521,93
100-10,2,13,16.625,94
100-10,3,16,10.112,94
100-11,1,2,8.102,87
100-11,2,10,17.063,83
100-11,3,10,28.085,80
100-11,4,9,19.430,61
100-11,5,1,14.096,75
100-11,6,16,10.434,
100-12,1,7,10.434,86
100-12,2,12,13.568,77
100-12,3,14,11.945,87
100-12,4,22,6.525,97
100-12,5,5,8.977,87
100-12,6,13,6.324,88
100-12,7,3,3.680,84
100-12,8,25,17.130,102
100-13,1,5,14.923,87
100-13,2,9,11.344,100
100-14,1,23,12.971,106
100-14,2,10,12.939,105
100-14,3,6,11.720,102
100-14,4,13,12.941,107
100-14,5,3,12.496,94
100-14,6,21,11.053,108
100-14,7,12,12.837,97
100-14,8,2,14.044,83
100-14,9,15,12.110,87
100-15,1,26,12.173,104
100-15,2,24,11.349,105
100-16,1,4,10.944,112
100-16,2,10,11.147,102
100-16,3,35,11.583,96
100-16,4,4,16.628,74
100-16,5,4,13.297,87
100-16,6,12,8.328,
