kkno,dilimno,uzunluk,tasit,hiz,baslangic,bitis,baglanti
550-01,1,18,6.802,107,Havsa,Kırcasalih,
550-01,2,19,6.632,92,Kırcasalih,Uzunköprü,
550-01,3,19,8.463,97,Uzunköprü,İpsala k.,
550-02,1,26,5.299,101,İpsala k.,Malkara k.,
550-02,2,2,19.470,76,Malkara k.,Keşan,
550-02,3,22,6.836,102,Keşan,Çanakkale s.,550-15
550-03,1,18,6.413,97,Çanakkale s.,Şarköy k.,
550-03,2,29,7.297,104,Şarköy k.,Gelibolu k.,
550-03,3,38,5.177,95,Gelibolu k.,Eceabat k.,
550-04,1,20,22.286,85,Eceabat k.,Eceabat,
550-04,2,12,12.985,106,Eceabat,Çanakkale,
550-04,3,17,10.033,104,Çanakkale,İntepe,
550-05,1,20,8.319,104,İntepe,Bozcaada k.,
550-05,2,29,6.553,103,Bozcaada k.,Ezine,
550-06,1,33,34.455,89,Ezine,Ayvacık,
550-06,2,3,34.430,69,Ayvacık,Balıkesir s.,550-06
550-07,1,10,22.688,89,Balıkesir s.,Edremit,
550-07,2,18,11.672,69,Edremit,Balıkesir k.,
550-07,3,6,15.033,87,Balıkesir k.,Burhaniye,
550-07,4,10,15.004,99,Burhaniye,Gömeç,
550-07,5,11,14.348,91,Gömeç,Kozak k.,
550-07,6,4,9.890,93,Kozak k.,Ayvalık,
550-08,1,18,12.222,98,Ayvalık,Altınova,
550-08,2,17,16.057,100,Altınova,İzmir s.,550-08
550-08,3,16,16.414,103,İzmir s.,Dikili,
550-09,1,23,16.141,87,Dikili,Çandarlı,
550-09,2,8,27.082,83,Çandarlı,Çandarlı k.,
550-09,3,7,26.282,87,Çandarlı k.,Aliağa,
550-09,4,11,30.141,82,Aliağa,Foça kuzey k.,
550-09,5,4,40.912,73,Foça kuzey k.,Foça güney k.,
550-10,1,7,38.129,85,Foça güney k.,Menemen,
550-10,2,7,27.062,80,Menemen,Menderes,
550-10,3,5,35.816,73,Menderes,Ayrancılar,
550-10,4,7,15.372,82,Ayrancılar,Torbalı k,
550-11,1,11,7.340,96,Torbalı k,Torbalı,
550-11,2,12,14.076,91,Torbalı,Tire k.,
550-11,3,8,6.223,,Tire k.,Belevi,
550-11,4,8,7.317,96,Belevi,Selçuk,
550-12,1,5,7.818,,Selçuk,Kuşadası k.,
550-12,2,8,13.552,81,Kuşadası k.,Aydın s.,
550-12,3,11,13.048,86,Aydın s.,Ortaklar,
550-12,4,8,26.986,78,Ortaklar,Germencik,
550-13,1,6,19.317,93,Germencik,İncirliova,
550-13,2,21,19.329,102,İncirliova,Aydın,
550-13,3,7,17.717,67,Aydın,Koçarlı k.,
550-13,4,22,14.576,100,Koçarlı k.,Karpuzlu k.,
550-14,1,12,10.941,109,Karpuzlu k.,Çine,
550-14,2,3,18.149,,Çine,Muğla s.,
550-14,3,19,22.941,99,Muğla s.,Kavaklıdere k.,
550-14,4,9,18.859,96,Kavaklıdere k.,Yatağan,
550-14,5,10,22.003,,Yatağan,Yeşilyurt k.,
550-14,6,13,16.257,94,Yeşilyurt k.,Muğla,
550-15,1,3,4.967,61,Muğla,Ula k.,
400-03,2,18,12.974,84,Ula k.,Köyceğiz,
400-03,3,18,17.240,96,Köyceğiz,Ortaca,
400-03,4,4,21.974,,Ortaca,13. Bölge sınırı,
400-03,5,1,22.403,,13. Bölge sınırı,Dalaman k.,
400-04,1,11,13.127,97,Dalaman k.,Göcek,
400-04,2,30,16.654,93,Göcek,Fethiye,
400-05,1,20,18.710,90,Fethiye,Seydikemer,350-01
400-05,2,22,8.072,87,Seydikemer,Eşen,
400-05,3,13,5.265,,Eşen,Antalya s.,
400-06,1,23,7.711,76,Antalya s.,Kalkan,
400-06,2,24,5.273,75,Kalkan,Kaş,
400-06,3,10,5.270,73,Kaş,Elmalı k.,
400-07,1,37,2.723,88,Elmalı k.,Demre,
400-07,2,27,4.370,67,Demre,Finike,
400-07,3,2,14.136,,Finike,Elmalı k. 2,
400-08,0,16,14.136,86,Elmalı k. 2,Kumluca,
400-09,1,36,8.124,100,Kumluca,Tekirova,
400-09,2,12,12.839,89,Tekirova,Kemer,
400-09,3,14,22.293,89,Kemer,Beldibi,
400-09,4,10,22.335,83,Beldibi,KGM 13. Bölge Müdürlüğü,
400-09,5,11,24.731,91,KGM 13. Bölge Müdürlüğü,Antalya Limanı,
400-09,6,6,32.895,83,Antalya Limanı,Antalya k.,
400-09,7,8,17.821,96,Antalya k.,Antalya,650-14
400-10,1,10,46.159,85,Antalya,Belek,
400-10,2,5,48.070,84,Belek,Serik,
400-10,3,10,33.111,95,Serik,İbradi k.,
400-11,1,26,35.563,100,İbradi k.,Manavgat,
400-11,2,12,32.053,73,Manavgat,Akseki k.,
400-12,1,17,24.941,98,Akseki k.,Alarahan k.,
400-12,2,17,27.310,88,Alarahan k.,Gündoğmuş k.,
400-12,3,14,34.285,85,Gündoğmuş k.,Alanya,
400-12,4,11,31.075,61,Alanya,Sarıveliler k.,
400-12,5,11,16.335,88,Sarıveliler k.,Demirtaş k.,
400-13,1,21,13.381,89,Demirtaş k.,Gazipaşa,
400-13,2,15,8.121,82,Gazipaşa,Kırahmetler,
400-13,3,23,4.279,93,Kırahmetler,Mersin s.,
400-14,0,39,4.117,70,Mersin s.,Anamur,
400-15,1,13,10.148,80,Anamur,Bozyazı,
400-15,2,37,4.842,76,Bozyazı,Aydıncık,
400-15,3,2,9.665,,Aydıncık,Gülnar k.,
400-16,1,24,4.935,90,Gülnar k.,Büyükeceli,
